Time,Collaboration,Cooperation,Coordination,Communication,Travail individuel,Teacher Intervention,Neutral/setup,Technical Issue,Off topic,seance
2460.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2490.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2520.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2550.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2580.0,0,0,0,0,1,1,0,0,0,Seance_3_AC_Grattoir
2610.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2640.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2670.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2700.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2730.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2760.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2790.0,0,0,0,0,0,1,0,0,1,Seance_3_AC_Grattoir
2820.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2850.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2880.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2910.0,0,0,0,0,1,1,0,0,0,Seance_3_AC_Grattoir
2940.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
2970.0,0,0,0,0,0,1,0,0,0,Seance_3_AC_Grattoir
3000.0,0,0,0,0,1,1,0,0,0,Seance_3_AC_Grattoir
3030.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3060.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3090.0,0,0,0,0,1,0,0,0,0,Seance_3_AC_Grattoir
3120.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3150.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3180.0,0,0,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3210.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3240.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
3270.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3300.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
3330.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3360.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3390.0,0,1,0,1,1,0,0,0,0,Seance_3_AC_Grattoir
3420.0,1,1,0,0,1,0,0,1,0,Seance_3_AC_Grattoir
3450.0,0,1,0,0,0,0,0,0,0,Seance_3_AC_Grattoir
3480.0,1,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
3510.0,0,0,1,1,1,0,0,0,0,Seance_3_AC_Grattoir
3540.0,0,0,1,1,1,0,0,0,1,Seance_3_AC_Grattoir
3570.0,0,0,0,1,0,0,0,0,0,Seance_3_AC_Grattoir
3600.0,0,0,1,0,0,0,0,1,0,Seance_3_AC_Grattoir
